input_store_id,1,2,3,4,5,6,7,8,9,10
630,17435,6821,14719,13536,16216,1565,17930,927,17115,3835
633,18330,15755,5616,4816,9824,8911,245,6755,2492,286
634,6309,2927,1254,7054,179,995,14638,191,1737,11357
640,2948,5279,13761,6796,4628,7628,9464,1499,17115,3178
642,14020,553,3353,14719,781,4602,1469,10033,14722,2212
643,14544,1846,18200,297,10001,5335,3906,11951,1147,2262
647,17461,15287,6644,4471,5992,3640,14897,16666,11736,6669
648,5131,7249,2802,13571,6444,15637,9432,306,13481,4690
649,10280,4208,10033,1213,10334,15973,14020,9206,756,1109
652,3845,16311,16484,16877,13434,13210,2505,6915,3868,16823
658,1421,5125,17519,11593,7972,16427,13186,11736,14235,16164
659,18435,10278,8460,3965,3215,10796,17969,8034,7269,12129
660,9784,5600,7895,14151,2985,16615,8998,15053,8596,12025
664,8728,4740,4093,7428,16541,10045,17547,14771,17916,5238
666,6665,9853,5383,7860,136,6906,12021,5709,16815,823
669,14328,9534,11495,9852,6573,5501,4620,14195,10639,15598
670,4162,3234,8790,4257,902,6282,12109,10943,3883,9951
671,10670,3995,2453,13899,9951,2684,2193,4690,7459,5306
672,6813,793,11705,9045,8930,18222,6744,14817,11631,1216
675,7018,10824,10867,5563,16423,13734,16194,17519,15916,3602
676,4458,11144,1196,5344,14015,1046,5734,13481,8935,13704
679,15087,6345,15605,10922,11190,13141,6274,70,14483,15974
680,9461,2420,7665,2459,2864,9447,6678,11383,1855,11009
681,3557,1993,298,13920,5939,16478,4920,14361,2335,4899
683,15075,13600,4375,10744,2889,2076,6620,4813,5204,9293
684,8942,7175,11267,690,15035,9369,16383,13691,10672,17716
686,6652,15198,3641,10795,10513,6573,11865,16493,16116,3559
687,6133,14037,108,11735,10220,3969,8416,1798,1943,12121
688,5218,4162,6353,18374,9844,17663,956,15044,4225,15965
690,10310,7100,8727,7175,684,10672,5551,5271,3990,11888
691,5709,13872,8003,16245,15559,1611,13644,17771,16223,15434
693,10973,3034,10483,1657,13265,6228,3990,11153,13671,1656
694,13853,8758,2050,11016,3032,435,11881,1513,4217,11424
696,8634,17490,5271,6804,14788,1595,11854,13323,8110,3990
698,1647,1751,11245,13992,5790,7459,194,892,7249,1046
705,552,14853,1769,14811,4536,9545,9333,11171,11233,8843
706,5640,6445,15604,2868,6617,942,7791,9146,13992,3255
708,12194,13460,1545,14385,6335,17310,1033,8624,6110,14173
710,15537,6599,11717,13932,7,4093,7409,9286,10045,18224
711,9852,4607,17433,8759,2312,736,8446,6444,194,14328
712,6775,5114,9967,13604,14596,3969,7547,12150,5959,11892
713,5797,16823,1520,7861,5639,13930,8260,7145,7860,3240
716,15036,6037,184,5373,17588,8876,15972,2522,10327,15965
718,2727,9203,388,15233,4944,11870,10788,7994,2326,10304
720,5584,9534,191,14596,6867,648,9064,10606,919,9543
723,4458,13481,5734,15637,8935,12180,11144,11007,11579,7168
724,13051,10136,8079,8740,9891,3915,16241,2193,1407,7459
